,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1119,0.731,0.131,174.019,0.306,0.0851,0.0,4,0.742,11,183143,-4.362,0.547,0,audio_features,64,spotify:track:0xDUqQ3gVuhhjZnK9zXHwG,B.I.T.C.H.,Megan Thee Stallion,houston rap,2020,0
1120,0.799,0.0223,104.016,0.264,0.0246,0.0,4,0.963,8,95852,-3.1660000000000004,0.965,1,audio_features,59,spotify:track:0fdQue15BjCMA3ov14ubF4,Rich,Megan Thee Stallion,houston rap,2020,0
1121,0.591,0.10099999999999999,112.96,0.062,0.379,0.0,4,0.848,11,174232,-5.273,0.264,1,audio_features,54,spotify:track:6hv5exKssaEbXMexDrC45M,Stop Playing (feat. Gunna),Megan Thee Stallion & Gunna,houston rap,2020,0
1122,0.562,0.0739,101.958,0.0552,0.23199999999999998,0.0,4,0.778,1,192142,-4.949,0.57,1,audio_features,51,spotify:track:3OxwuE0500Qzobf7uykMzy,Crying In The Car,Megan Thee Stallion,houston rap,2020,0
1123,0.667,0.161,87.529,0.0436,0.0209,5.39e-05,4,0.733,1,200600,-4.655,0.569,1,audio_features,52,spotify:track:3eD4GBuUVbXrMUa9qIG4BN,What I Need,Megan Thee Stallion,houston rap,2020,0
1124,0.631,0.0955,117.064,0.317,0.127,0.0,4,0.934,1,149704,-3.8339999999999996,0.43700000000000006,1,audio_features,60,spotify:track:3qVNNJ7f9RQeNR4iPIeS0c,Realer,Megan Thee Stallion,houston rap,2019,0
1125,0.7809999999999999,0.212,80.018,0.263,0.0812,0.0,4,0.871,7,181231,-3.963,0.7290000000000001,1,audio_features,52,spotify:track:1hOHLiauos0RROoUxd88mL,Hood Rat Shit,Megan Thee Stallion,houston rap,2019,0
1126,0.688,0.358,151.504,0.344,0.0019199999999999998,0.0,4,0.8959999999999999,7,203873,-6.736000000000001,0.75,1,audio_features,57,spotify:track:3LUZ87kchRBkosDk7o8ZEf,Pimpin,Megan Thee Stallion,houston rap,2019,0
1127,0.635,0.0946,130.028,0.41600000000000004,0.0218,0.0,4,0.9209999999999999,1,192540,-4.904,0.5489999999999999,1,audio_features,77,spotify:track:2rMAtCaTj16NptyVfEIeAC,Cash Shit (feat. DaBaby),Megan Thee Stallion & DaBaby,houston rap,2019,0
1128,0.9229999999999999,0.1,163.957,0.345,0.07,0.0,4,0.695,1,177428,-2.085,0.575,1,audio_features,50,spotify:track:1lcy01rheR0rAQbw1TWkq9,W.A.B,Megan Thee Stallion,houston rap,2019,0
1129,0.7859999999999999,0.287,180.903,0.34299999999999997,0.0231,0.0,4,0.726,5,159934,-3.3539999999999996,0.868,0,audio_features,51,spotify:track:1luP1KEaCBIPTQfdW8ITk8,Best You Ever Had,Megan Thee Stallion,houston rap,2019,0
1130,0.815,0.225,91.979,0.251,0.0102,7.31e-05,4,0.909,7,200123,-4.72,0.49,1,audio_features,62,spotify:track:4l2maonUDTMvGGT4bmkB3h,Simon Says (feat. Juicy J),Megan Thee Stallion & Juicy J,houston rap,2019,0
